model,condition,task,value,is_ner
GPT-4o,zero-shot,Study Type,0.6216621967076789,False
Llama-3.1-8B-Instruct,ift,Study Type,0.7433775515931671,False
BERT,zero-shot,Study Type,0.8732648280670662,False
MedGemma-27b-text-it,zero-shot,Study Type,0.6357929522041188,False
GPT-4o,zero-shot,Data Collection,0.4727725928192575,False
Llama-3.1-8B-Instruct,ift,Data Collection,0.9025322845172138,False
BERT,zero-shot,Data Collection,0.8918560606060607,False
MedGemma-27b-text-it,zero-shot,Data Collection,0.18212094094427778,False
GPT-4o,zero-shot,Data Type,0.5784748021076146,False
Llama-3.1-8B-Instruct,ift,Data Type,0.6662150443554258,False
BERT,zero-shot,Data Type,0.789434882261055,False
MedGemma-27b-text-it,zero-shot,Data Type,0.6322098386056862,False
Llama-3.1-8B-Instruct,ift,Number of Participants,0.816515680201025,False
GPT-4o,zero-shot,Number of Participants,0.6656159618361703,False
BERT,zero-shot,Number of Participants,0.9188217149565832,False
MedGemma-27b-text-it,zero-shot,Number of Participants,0.6976408230179781,False
Llama-3.1-8B-Instruct,ift,Age of Participants,0.9180112359550563,False
GPT-4o,zero-shot,Age of Participants,0.8394139194139194,False
BERT,zero-shot,Age of Participants,0.9267106227106228,False
MedGemma-27b-text-it,zero-shot,Age of Participants,0.8427472527472527,False
GPT-4o,zero-shot,Application Form,0.6448990890796796,False
Llama-3.1-8B-Instruct,ift,Application Form,0.8668667869921788,False
BERT,zero-shot,Application Form,0.8451373639779436,False
MedGemma-27b-text-it,zero-shot,Application Form,0.48003170659142147,False
GPT-4o,zero-shot,Clinical Trial Phase,0.692121044474943,False
Llama-3.1-8B-Instruct,ift,Clinical Trial Phase,0.7776791827022141,False
BERT,zero-shot,Clinical Trial Phase,0.7933675283124271,False
MedGemma-27b-text-it,zero-shot,Clinical Trial Phase,0.5852912842552983,False
Llama-3.1-8B-Instruct,ift,Condition,0.9138440394884545,False
GPT-4o,zero-shot,Condition,0.8209436658676644,False
BERT,zero-shot,Condition,0.929756369391258,False
MedGemma-27b-text-it,zero-shot,Condition,0.8278490817505074,False
Llama-3.1-8B-Instruct,ift,Outcomes,0.8368190737802984,False
GPT-4o,zero-shot,Outcomes,0.855756263464672,False
BERT,zero-shot,Outcomes,0.7966502856380157,False
MedGemma-27b-text-it,zero-shot,Outcomes,0.8557715266651335,False
GPT-4o,zero-shot,Regimen,0.733620730494102,False
Llama-3.1-8B-Instruct,ift,Regimen,0.8122278376260296,False
BERT,zero-shot,Regimen,0.7348226029371681,False
MedGemma-27b-text-it,zero-shot,Regimen,0.5870487016844406,False
GPT-4o,zero-shot,Study Control,0.6988205348886463,False
Llama-3.1-8B-Instruct,ift,Study Control,0.7442849608087319,False
BERT,zero-shot,Study Control,0.7462985646235896,False
MedGemma-27b-text-it,zero-shot,Study Control,0.6333000325711681,False
GPT-4o,zero-shot,Study Purpose,0.8216599804405043,False
Llama-3.1-8B-Instruct,ift,Study Purpose,0.7588998167607794,False
BERT,zero-shot,Study Purpose,0.8126119991642607,False
MedGemma-27b-text-it,zero-shot,Study Purpose,0.8089405543950999,False
Llama-3.1-8B-Instruct,ift,Substance Naivety,0.8784962525460559,False
GPT-4o,zero-shot,Substance Naivety,0.7791731430660456,False
BERT,zero-shot,Substance Naivety,0.8581893179716946,False
MedGemma-27b-text-it,zero-shot,Substance Naivety,0.6412531581321107,False
Llama-3.1-8B-Instruct,ift,Substances,0.852402412105104,False
GPT-4o,zero-shot,Substances,0.9225763230855201,False
BERT,zero-shot,Substances,0.8714958367665573,False
MedGemma-27b-text-it,zero-shot,Substances,0.913829899787833,False
Llama-3.1-8B-Instruct,ift,Study Conclusion,0.7829022080128485,False
GPT-4o,zero-shot,Study Conclusion,0.7258268824771288,False
